Incident_ID,Incident_Type,Area,Time_of_Day,Day_of_Week,Weather,Crowd_Level,CCTV_Available,Police_Response_Time,Ambulance_Response_Time,Fire_Response_Time,Number_of_People,Severity_Score,Previous_Incidents,Emergency_Level
67,Medical,North,Afternoon,Tuesday,Cloudy,Medium,Yes,15.0,20,8,421,2,2,Medium
68,Medical,West,Night,Thursday,Rainy,High,No,16.0,24,18,61,4,17,High
69,Fire,South,Evening,Saturday,Sunny,Low,Yes,4.0,24,10,292,5,19,High
70,Assault,Central,Night,Wednesday,Sunny,Low,No,8.0,5,30,283,3,2,Medium
71,Accident,Central,Afternoon,Thursday,Sunny,High,Yes,5.0,26,18,360,5,14,High
72,Fire,East,Evening,Thursday,Sunny,Medium,No,7.0,7,7,466,3,8,High
73,Assault,North,Morning,Thursday,Cloudy,Medium,No,19.0,22,35,483,7,8,High
74,Accident,Central,Morning,Sunday,Sunny,Medium,No,24.0,23,5,47,1,7,Low
75,Theft,West,Evening,Thursday,Rainy,Medium,Yes,16.0,25,35,93,5,18,High
76,Assault,Central,Morning,Thursday,Sunny,Medium,No,25.0,20,22,169,3,13,High
77,Assault,North,Afternoon,Friday,Rainy,High,No,19.0,5,33,60,6,12,High
78,Accident,West,Night,Monday,Sunny,High,Yes,9.0,13,12,390,8,1,High
79,Theft,South,Morning,Thursday,Sunny,High,Yes,3.0,22,30,160,3,17,High
80,Assault,West,Night,Tuesday,Rainy,High,Yes,19.0,27,21,478,8,9,High
81,Theft,East,Night,Wednesday,Cloudy,Medium,Yes,19.0,28,12,98,7,19,High
82,Fire,West,Night,Wednesday,Rainy,High,No,21.0,23,35,372,5,9,High
83,Medical,West,Afternoon,Sunday,Rainy,Low,No,9.0,27,19,478,8,10,High
84,Assault,North,Afternoon,Friday,Cloudy,Medium,Yes,15.0,26,13,362,8,12,High
85,Assault,South,Morning,Thursday,Rainy,Medium,No,17.0,5,13,52,8,16,High
86,Accident,West,Morning,Friday,Sunny,Low,No,24.0,22,28,437,2,10,Medium
87,Assault,South,Evening,Monday,Sunny,Medium,Yes,16.0,8,10,383,4,2,Medium
88,Medical,West,Afternoon,Tuesday,Sunny,Low,No,16.0,9,19,184,5,11,High
89,Fire,West,Evening,Thursday,Rainy,High,Yes,18.0,23,13,350,10,7,High
90,Theft,West,Evening,Friday,Rainy,High,No,24.0,22,14,462,8,9,High
91,Theft,South,Night,Friday,Rainy,High,No,9.0,17,34,234,5,9,High
92,Medical,West,Evening,Sunday,Sunny,High,No,11.0,5,7,12,5,12,High
93,Theft,North,Evening,Sunday,Rainy,Low,No,22.0,13,12,326,4,6,Medium
94,Fire,South,Afternoon,Sunday,Cloudy,Medium,No,13.0,28,30,47,3,9,Medium
95,Theft,West,Morning,Tuesday,Sunny,High,No,12.0,28,25,132,3,15,High
96,Medical,North,Night,Wednesday,Cloudy,High,No,15.0,5,20,188,9,2,High
97,Assault,North,Evening,Friday,Sunny,High,Yes,14.0,8,18,196,10,20,High
98,Fire,North,Morning,Wednesday,Rainy,Low,Yes,23.0,18,11,466,8,9,High
99,Accident,Central,Night,Friday,Cloudy,High,Yes,7.0,17,33,455,4,17,High
100,Accident,North,Evening,Tuesday,Rainy,Medium,Yes,18.0,24,30,336,7,3,High
101,Theft,West,Evening,Tuesday,Sunny,Medium,Yes,20.0,25,26,51,6,11,High
102,Accident,South,Afternoon,Sunday,Cloudy,Low,Yes,22.0,5,7,329,4,20,High
103,Fire,Central,Morning,Wednesday,Sunny,Low,No,9.0,12,25,107,9,18,High
104,Fire,Central,Evening,Monday,Sunny,Medium,Yes,7.0,5,26,57,3,0,Low
105,Assault,West,Evening,Friday,Cloudy,Low,No,19.0,8,8,380,3,13,High
106,Assault,North,Morning,Thursday,Rainy,Medium,Yes,4.0,28,23,114,9,19,High
107,Medical,South,Morning,Tuesday,Rainy,High,No,5.0,7,24,365,8,14,High
108,Theft,North,Afternoon,Thursday,Rainy,Low,No,12.0,19,31,306,7,16,High
109,Accident,West,Evening,Saturday,Rainy,Medium,Yes,15.0,18,10,424,6,14,High
110,Theft,East,Afternoon,Friday,Sunny,High,No,5.0,7,31,35,8,2,High
111,Theft,East,Evening,Wednesday,Sunny,High,Yes,24.0,29,31,211,2,11,Medium
112,Medical,East,Morning,Sunday,Rainy,High,Yes,10.0,8,26,337,3,15,High
113,Medical,East,Morning,Tuesday,Rainy,High,No,22.0,24,5,433,7,17,High
114,Theft,South,Morning,Monday,Cloudy,High,Yes,8.0,9,29,180,6,0,Medium
115,Accident,East,Morning,Monday,Sunny,Low,Yes,13.0,10,27,215,7,14,High
116,Medical,West,Night,Wednesday,Sunny,High,Yes,24.0,18,35,140,2,14,High
117,Medical,East,Morning,Tuesday,Rainy,High,Yes,12.0,26,35,221,6,3,High
118,Accident,East,Evening,Monday,Sunny,Medium,No,9.0,29,12,105,1,9,Medium
119,Medical,Central,Evening,Monday,Rainy,High,Yes,20.0,27,18,67,3,12,High
120,Medical,West,Night,Wednesday,Sunny,Medium,Yes,5.0,15,31,10,7,14,High
121,Theft,West,Morning,Tuesday,Rainy,High,No,17.0,27,27,88,6,19,High
122,Fire,East,Afternoon,Monday,Cloudy,High,Yes,12.0,28,25,41,9,12,High
123,Fire,North,Afternoon,Wednesday,Sunny,Low,Yes,14.0,16,13,262,9,6,High
124,Medical,Central,Evening,Sunday,Cloudy,Medium,Yes,18.0,19,32,91,2,20,High
125,Accident,Central,Morning,Wednesday,Cloudy,Low,No,17.0,25,23,35,8,15,High
126,Theft,North,Night,Thursday,Cloudy,High,Yes,4.0,16,22,232,8,1,High
127,Medical,West,Afternoon,Monday,Rainy,Low,No,23.0,11,24,466,8,18,High
128,Assault,West,Afternoon,Wednesday,Rainy,Medium,No,8.0,6,19,259,2,20,High
129,Accident,North,Evening,Monday,Cloudy,High,No,24.0,24,7,397,7,10,High
130,Medical,South,Evening,Wednesday,Cloudy,High,No,7.0,15,9,130,5,19,High
131,Accident,South,Morning,Saturday,,,No,,22,28,305,3,2,Medium
132,Assault,South,Afternoon,Tuesday,Sunny,Low,No,8.0,11,25,186,1,9,Medium
133,Medical,South,Night,Tuesday,Sunny,Low,Yes,19.0,6,25,260,2,17,High
134,Assault,Central,Evening,Sunday,Cloudy,Medium,Yes,14.0,26,19,23,8,13,High
135,Medical,West,Night,Sunday,Rainy,Medium,No,18.0,11,27,123,9,9,High
136,Theft,West,Evening,Friday,Sunny,High,Yes,22.0,9,20,419,3,6,Medium
137,Assault,North,Afternoon,Sunday,Rainy,Medium,Yes,11.0,19,13,43,5,5,Medium
138,Assault,North,Evening,Tuesday,Sunny,Medium,Yes,19.0,16,19,28,7,12,High
139,Assault,South,Night,Thursday,Cloudy,Low,Yes,7.0,6,22,406,6,4,High
140,Theft,East,Afternoon,Wednesday,Sunny,Low,Yes,7.0,22,31,132,1,6,Medium
141,Assault,Central,Morning,Saturday,Cloudy,High,Yes,17.0,7,11,328,7,19,High
142,Fire,Central,Night,Tuesday,Cloudy,High,Yes,3.0,24,26,150,3,13,High
143,Assault,West,Morning,Saturday,Rainy,Medium,No,5.0,21,5,500,9,11,High
144,Medical,East,Afternoon,Monday,Rainy,High,No,14.0,12,10,183,1,2,Low
145,Fire,North,Night,Monday,Rainy,Low,Yes,25.0,20,15,426,3,14,High
146,Medical,West,Evening,Monday,Cloudy,Low,No,13.0,14,29,454,4,1,Medium
147,Theft,East,Night,Thursday,Cloudy,Medium,No,23.0,15,21,442,6,1,Medium
148,Accident,Central,Evening,Sunday,Sunny,High,No,18.0,27,35,499,6,5,High
149,Accident,North,Morning,Wednesday,Cloudy,Medium,No,8.0,22,22,221,2,19,High
150,Accident,West,Morning,Saturday,Rainy,High,No,8.0,27,32,309,8,13,High
151,Accident,Central,Afternoon,Monday,Sunny,High,No,5.0,26,29,328,5,1,Medium
152,Accident,West,Morning,Friday,Sunny,High,No,10.0,29,27,65,1,2,Low
153,Medical,East,Night,Wednesday,Cloudy,Medium,Yes,5.0,23,12,191,6,14,High
154,Medical,North,Evening,Sunday,Rainy,High,No,18.0,21,28,14,2,5,Low
155,Theft,South,Morning,Thursday,Sunny,High,No,25.0,20,16,314,4,9,High
156,Medical,Central,Evening,Wednesday,Sunny,High,Yes,24.0,16,8,415,2,10,Medium
157,Fire,West,Morning,Wednesday,Cloudy,High,No,6.0,11,12,261,6,7,High
158,Theft,East,Night,Saturday,Cloudy,Medium,No,7.0,24,9,412,8,17,High
159,Theft,West,Night,Saturday,Cloudy,Medium,Yes,5.0,9,24,422,7,18,High
160,Assault,Central,Morning,Sunday,Sunny,High,Yes,8.0,29,12,328,9,18,High
161,Accident,Central,Evening,Sunday,Sunny,Medium,Yes,13.0,27,18,85,5,5,Medium
162,Medical,South,Afternoon,Tuesday,Cloudy,High,No,23.0,14,9,141,9,4,High
163,Fire,Central,Night,Friday,Cloudy,Low,No,5.0,6,20,22,10,0,High
164,Assault,East,Night,Monday,Cloudy,Low,Yes,12.0,20,19,149,9,20,High
165,Medical,South,Evening,Sunday,Cloudy,Medium,No,17.0,11,25,213,8,15,High
166,Accident,South,Night,Monday,Rainy,Medium,Yes,19.0,22,10,67,7,11,High
167,Fire,South,Evening,Friday,Cloudy,Medium,Yes,12.0,17,30,50,3,1,Low
168,Assault,North,Morning,Thursday,Cloudy,Medium,Yes,17.0,20,23,256,3,16,High
169,Assault,Central,Night,Wednesday,Cloudy,Low,Yes,4.0,6,22,299,4,11,High
170,Accident,North,Night,Monday,Cloudy,High,Yes,14.0,29,29,69,7,8,High
171,Medical,East,Morning,Tuesday,Sunny,Medium,No,5.0,17,32,284,6,9,High
172,Medical,North,Morning,Monday,Sunny,High,No,7.0,11,29,286,6,11,High
173,Accident,Central,Evening,Tuesday,Rainy,High,No,7.0,24,12,266,8,14,High
174,Medical,East,Night,Sunday,Sunny,Medium,No,19.0,22,35,173,10,16,High
175,Medical,West,Evening,Saturday,Cloudy,High,Yes,12.0,30,5,214,2,18,High
176,Fire,South,Morning,Friday,Cloudy,Low,Yes,8.0,21,28,299,1,15,High
177,Fire,West,Night,Sunday,Cloudy,High,Yes,16.0,9,30,226,1,10,Medium
178,Medical,West,Evening,Tuesday,Rainy,High,No,20.0,15,34,266,3,6,Medium
179,Fire,South,Evening,Friday,Rainy,Low,No,25.0,13,34,182,9,20,High
180,Accident,West,Evening,Friday,Cloudy,Medium,No,25.0,27,35,361,5,6,High
181,Fire,East,Morning,Wednesday,Cloudy,Low,No,15.0,17,26,294,2,17,High
182,Medical,East,Evening,Tuesday,Sunny,High,Yes,18.0,11,16,336,8,8,High
183,Theft,North,Night,Wednesday,Cloudy,Medium,Yes,10.0,25,18,26,4,16,High
184,Assault,South,Evening,Wednesday,Rainy,High,Yes,8.0,18,34,3,3,17,High
185,Fire,West,Afternoon,Monday,Rainy,Medium,Yes,10.0,22,6,334,2,18,High
186,Accident,East,Night,Saturday,Cloudy,High,No,3.0,14,10,449,5,1,Medium
187,Theft,East,Afternoon,Saturday,Rainy,High,No,17.0,13,16,436,3,16,High
188,Fire,Central,Night,Sunday,Rainy,High,No,12.0,23,16,8,3,10,Medium
189,Accident,South,Morning,Wednesday,Rainy,Low,No,8.0,9,34,206,2,3,Medium
190,Accident,East,Afternoon,Monday,Cloudy,Low,No,12.0,23,4,489,5,10,High
191,Theft,East,Evening,Friday,Sunny,Low,Yes,24.0,21,23,82,5,12,High
192,Medical,West,Afternoon,Sunday,Sunny,High,Yes,22.0,16,30,79,8,14,High
193,Medical,North,Morning,Sunday,Cloudy,High,Yes,25.0,16,8,229,9,16,High
194,Theft,South,Night,Monday,Cloudy,Medium,Yes,8.0,15,32,275,10,4,High
195,Medical,West,Evening,Saturday,Sunny,Medium,No,16.0,19,7,68,8,16,High
196,Assault,East,Morning,Friday,Sunny,Low,No,21.0,7,6,382,1,6,Medium
197,Assault,East,Night,Thursday,Rainy,Medium,Yes,8.0,29,12,147,1,13,Medium
198,Medical,West,Afternoon,Saturday,Sunny,Low,Yes,14.0,8,15,69,9,20,High
199,Fire,South,Night,Wednesday,Sunny,Medium,Yes,16.0,22,28,238,5,17,High
200,Fire,South,Morning,Monday,Cloudy,Low,No,22.0,29,5,17,2,13,Medium
201,Assault,West,Afternoon,Friday,Sunny,Low,Yes,10.0,28,6,345,10,1,High
202,Fire,East,Afternoon,Saturday,Cloudy,Low,No,21.0,15,24,149,9,7,High
203,Assault,Central,Night,Monday,Rainy,High,No,20.0,23,15,141,5,1,Medium
204,Assault,South,Night,Tuesday,Sunny,Medium,Yes,16.0,9,23,164,9,13,High
205,Medical,Central,Afternoon,Thursday,Sunny,Medium,Yes,20.0,18,30,469,8,1,High
206,Medical,South,Morning,Wednesday,Rainy,High,Yes,17.0,16,9,332,6,2,Medium
207,Assault,South,Evening,Wednesday,Sunny,Low,Yes,24.0,22,17,97,2,18,High
208,Assault,South,Evening,Sunday,Rainy,Medium,No,10.0,27,17,383,2,15,High
209,Medical,West,Night,Monday,Cloudy,Medium,No,12.0,13,27,333,9,11,High
210,Fire,North,Evening,Friday,Cloudy,High,No,16.0,6,18,190,4,10,High
211,Medical,South,Night,Friday,Cloudy,High,No,13.0,12,28,79,5,6,Medium
212,Assault,South,Evening,Tuesday,Sunny,High,No,23.0,28,35,391,5,15,High
213,Theft,North,Morning,Thursday,Sunny,High,Yes,23.0,6,6,470,3,17,High
214,Accident,North,Night,Saturday,Rainy,Low,Yes,3.0,11,33,363,2,4,Medium
215,Medical,East,Morning,Friday,Cloudy,High,No,3.0,5,21,283,9,13,High
216,Fire,Central,Evening,Sunday,Rainy,Medium,No,19.0,9,19,55,3,3,Low
217,Fire,East,Morning,Saturday,Cloudy,Low,Yes,17.0,23,19,192,2,12,High
218,Theft,South,Morning,Thursday,Rainy,High,No,20.0,20,7,195,7,12,High
219,Fire,Central,Night,Wednesday,,,No,,6,18,440,10,3,High
220,Fire,Central,Afternoon,Sunday,Cloudy,Medium,Yes,8.0,15,5,289,9,1,High
221,Medical,East,Night,Sunday,Cloudy,Low,Yes,10.0,23,28,84,5,18,High
222,Fire,North,Evening,Friday,Cloudy,High,No,4.0,8,31,382,9,11,High
223,Assault,South,Evening,Friday,,,Yes,,30,32,16,6,20,High
224,Fire,North,Morning,Wednesday,Sunny,Medium,Yes,5.0,29,22,339,10,12,High
225,Accident,West,Evening,Sunday,Rainy,Low,Yes,6.0,7,4,163,7,11,High
226,Theft,North,Morning,Wednesday,Cloudy,Low,No,17.0,22,30,96,2,13,High
227,Medical,South,Afternoon,Saturday,Rainy,Low,Yes,16.0,17,9,7,7,9,High
228,Fire,West,Evening,Thursday,Rainy,Medium,Yes,18.0,9,8,155,5,8,High
229,Assault,North,Afternoon,Wednesday,Sunny,Medium,No,23.0,20,16,129,6,7,High
230,Medical,South,Evening,Wednesday,Cloudy,High,Yes,17.0,15,31,195,10,10,High
231,Assault,Central,Afternoon,Wednesday,Rainy,Medium,No,15.0,15,22,161,8,5,High
232,Medical,North,Night,Saturday,Sunny,Medium,No,9.0,23,15,59,6,18,High
233,Accident,South,Evening,Saturday,Sunny,High,No,24.0,20,12,420,2,13,High
234,Medical,Central,Night,Friday,Sunny,Medium,Yes,22.0,20,29,38,7,14,High
235,Fire,Central,Morning,Friday,Cloudy,High,No,24.0,26,26,394,2,7,Medium
236,Accident,South,Afternoon,Thursday,Rainy,Medium,No,6.0,5,10,495,6,13,High
237,Assault,North,Evening,Thursday,Sunny,Low,Yes,7.0,16,5,354,10,16,High
238,Medical,West,Evening,Thursday,Sunny,Medium,No,17.0,30,17,160,6,10,High
239,Theft,East,Morning,Saturday,Sunny,High,Yes,4.0,30,11,35,6,9,High
240,Assault,South,Night,Saturday,Sunny,Low,No,8.0,15,31,90,9,17,High
241,Assault,North,Afternoon,Tuesday,Rainy,High,Yes,9.0,19,31,15,7,19,High
242,Fire,West,Morning,Wednesday,Cloudy,Medium,No,8.0,16,24,53,10,17,High
243,Accident,East,Night,Friday,Sunny,High,No,15.0,23,11,199,10,19,High
244,Theft,South,Evening,Monday,Sunny,Medium,Yes,24.0,9,24,303,10,2,High
245,Assault,South,Night,Saturday,Cloudy,High,Yes,22.0,9,28,199,9,13,High
246,Accident,West,Morning,Sunday,Rainy,Low,No,12.0,9,15,86,9,15,High
247,Assault,West,Night,Saturday,Rainy,Medium,Yes,20.0,21,35,100,3,12,High
248,Accident,South,Evening,Tuesday,Rainy,High,No,10.0,14,6,290,2,0,Low
249,Medical,East,Morning,Sunday,Cloudy,Medium,Yes,21.0,8,21,262,9,3,High
250,Assault,East,Evening,Sunday,Sunny,Medium,Yes,10.0,14,6,53,7,20,High
251,Fire,Central,Afternoon,Sunday,Sunny,Low,Yes,25.0,16,31,108,4,18,High
252,Accident,East,Evening,Friday,Rainy,High,Yes,11.0,24,14,180,10,17,High
253,Fire,South,Afternoon,Saturday,Rainy,Low,No,4.0,13,12,493,3,13,High
254,Assault,West,Morning,Saturday,Sunny,Medium,No,23.0,13,30,73,8,18,High
255,Theft,West,Evening,Sunday,,,No,,23,4,233,6,15,High
256,Accident,East,Evening,Friday,Cloudy,Low,No,9.0,20,21,496,4,13,High
257,Theft,North,Afternoon,Thursday,Rainy,Low,No,4.0,8,33,458,6,1,High
258,Accident,North,Evening,Wednesday,Sunny,Medium,Yes,23.0,14,14,353,4,4,Medium
259,Assault,North,Morning,Monday,Sunny,Medium,Yes,12.0,28,18,203,1,20,High
260,Theft,North,Evening,Sunday,Sunny,Medium,Yes,19.0,26,32,304,3,7,Medium
261,Theft,East,Evening,Wednesday,Sunny,Medium,Yes,15.0,7,10,37,8,7,High
262,Assault,East,Afternoon,Saturday,Cloudy,Low,No,21.0,5,14,36,3,16,High
263,Fire,North,Night,Wednesday,Rainy,Medium,Yes,9.0,7,10,352,10,14,High
264,Theft,East,Afternoon,Friday,Cloudy,High,Yes,5.0,12,22,142,4,20,High
265,Assault,West,Morning,Tuesday,Rainy,High,Yes,4.0,30,19,152,7,20,High
266,Assault,Central,Night,Wednesday,Cloudy,High,Yes,14.0,15,12,456,9,0,High
267,Theft,East,Afternoon,Monday,Sunny,Medium,No,3.0,23,8,489,8,2,High
268,Theft,Central,Afternoon,Wednesday,Sunny,Medium,Yes,16.0,27,29,393,9,13,High
269,Assault,Central,Morning,Wednesday,Cloudy,Medium,Yes,7.0,22,24,472,9,6,High
270,Medical,Central,Morning,Wednesday,Cloudy,High,Yes,16.0,8,33,126,1,2,Low
271,Assault,East,Evening,Tuesday,Rainy,Low,No,25.0,5,14,7,2,4,Low
272,Accident,Central,Morning,Wednesday,Cloudy,High,Yes,13.0,30,31,395,2,0,Low
273,Medical,South,Evening,Tuesday,Rainy,Low,Yes,14.0,6,35,234,8,16,High
274,Fire,North,Night,Wednesday,Rainy,Low,Yes,3.0,6,4,380,4,16,High
275,Fire,West,Evening,Wednesday,Sunny,High,No,16.0,12,24,284,1,20,High
276,Assault,North,Night,Sunday,Rainy,Medium,No,8.0,12,6,258,2,1,Low
277,Accident,Central,Evening,Saturday,Cloudy,Low,No,3.0,16,16,284,2,14,High
278,Fire,North,Night,Monday,Sunny,High,No,9.0,28,19,303,6,15,High
279,Accident,North,Afternoon,Friday,Sunny,Medium,No,3.0,29,28,487,1,10,High
280,Theft,South,Night,Saturday,Rainy,Medium,Yes,25.0,13,9,498,1,4,Medium
281,Theft,Central,Morning,Thursday,Cloudy,Low,Yes,7.0,25,29,49,10,16,High
282,Accident,West,Evening,Tuesday,Sunny,Low,Yes,15.0,27,24,134,5,10,High
283,Assault,East,Night,Monday,Cloudy,Medium,Yes,6.0,10,32,56,10,4,High
284,Fire,East,Morning,Tuesday,Rainy,Low,Yes,11.0,8,9,158,8,14,High
285,Accident,East,Afternoon,Monday,Rainy,Medium,Yes,15.0,21,7,496,4,11,High
286,Theft,South,Afternoon,Tuesday,Rainy,Medium,Yes,7.0,8,4,237,2,3,Medium
287,Fire,West,Afternoon,Monday,,,Yes,,5,8,301,10,8,High
288,Assault,North,Night,Saturday,Rainy,Low,No,21.0,18,29,26,8,5,High
289,Fire,North,Afternoon,Saturday,Rainy,Medium,No,11.0,13,32,466,4,5,High
290,Fire,West,Afternoon,Saturday,Cloudy,Low,Yes,5.0,13,28,246,9,1,High
291,Accident,Central,Evening,Thursday,Rainy,Low,Yes,18.0,22,35,401,7,11,High
292,Theft,West,Evening,Sunday,Cloudy,Low,Yes,3.0,30,21,306,6,7,High
293,Fire,Central,Night,Wednesday,Sunny,Low,Yes,11.0,22,7,127,2,7,Medium
294,Medical,Central,Afternoon,Friday,Sunny,Medium,No,21.0,5,26,163,10,11,High
295,Medical,South,Morning,Friday,Rainy,Low,No,5.0,6,18,252,3,1,Medium
296,Accident,North,Morning,Tuesday,Cloudy,High,Yes,13.0,27,15,104,10,4,High
297,Assault,Central,Morning,Wednesday,Rainy,Medium,Yes,14.0,7,27,434,2,16,High
298,Fire,Central,Evening,Tuesday,Cloudy,High,Yes,23.0,20,24,375,3,13,High
299,Medical,West,Morning,Tuesday,Cloudy,Medium,Yes,7.0,10,4,158,7,9,High
300,Fire,East,Evening,Tuesday,Cloudy,Low,No,7.0,15,8,54,10,15,High
301,Accident,East,Morning,Saturday,Sunny,Low,No,9.0,12,8,6,8,8,High
302,Assault,East,Night,Monday,Rainy,High,Yes,8.0,18,35,376,8,13,High
303,Accident,East,Morning,Monday,Rainy,Low,No,4.0,14,5,232,3,2,Medium
304,Medical,Central,Night,Saturday,Sunny,Medium,Yes,20.0,7,25,375,3,2,Medium
305,Accident,South,Afternoon,Thursday,Cloudy,High,No,8.0,6,10,456,10,13,High
